Chromosome,Start,End,ID,Functional,methylome
chr1,829002,829104,RNA1,Yes,69.8214
chr1,1140825,1141032,RNA2,Yes,54.7325
chr1,1400158,1400303,RNA3,Yes,5.86675
chr1,3060230,3060320,RNA4,Yes,62.594
chr1,4572470,4572592,RNA5,Yes,58.9925
chr1,6729720,6730012,RNA6,Yes,69.5263
chr1,6784149,6784223,RNA7,Yes,0.757519
chr1,9183633,9183807,RNA8,Yes,47.0544
chr1,11101801,11102105,RNA9,Yes,63.406
chr1,11611843,11611978,RNA10,Yes,46.188
chr1,11843704,11844073,RNA11,Yes,84.6855
chr1,12527445,12527792,RNA12,Yes,83.8226
chr1,12823036,12823289,RNA13,Yes,48.6128
chr1,14350869,14350988,RNA14,Yes,71.9398
chr1,15749430,15749601,RNA15,Yes,59.9822
chr1,16156971,16158148,RNA16,Yes,71.2158
chr1,18068192,18068278,RNA17,Yes,0
chr1,19240257,19240704,RNA18,Yes,83.4168
chr1,20244296,20244654,RNA19,Yes,64.5977
chr1,20362144,20362226,RNA20,Yes,0
chr1,22024806,22024966,RNA21,Yes,11.0698
chr1,23627780,23627998,RNA22,Yes,68.2245
chr1,24202464,24202599,RNA23,Yes,74.8108
chr1,28648193,28648799,RNA24,Yes,0.561836
chr1,30721288,30721722,RNA25,Yes,86.8242
chr1,33869203,33869337,RNA26,Yes,0
chr1,35365966,35366310,RNA27,Yes,78.8872
chr1,35574360,35574698,RNA28,Yes,57.8329
chr1,37456367,37456459,RNA29,Yes,84.3283
chr1,38102417,38102496,RNA30,Yes,0
chr1,38875941,38876226,RNA31,Yes,80.0827
chr1,43357803,43357900,RNA32,Yes,85.6907
chr1,43456578,43456999,RNA33,Yes,80.2556
chr1,46682181,46682264,RNA34,Yes,0
chr1,51560882,51561023,RNA35,Yes,82.565
chr1,60941180,60941418,RNA36,Yes,52.9386
chr1,69085180,69085298,RNA37,Yes,58.1805
chr1,73699751,73699843,RNA38,Yes,0
chr1,83454658,83454771,RNA39,Yes,51.1429
chr1,87354844,87354946,RNA40,Yes,0
chr1,90854228,90854899,RNA41,Yes,79.0771
chr1,94679424,94679604,RNA42,Yes,84.5263
chr1,95352032,95352410,RNA43,Yes,71.7068
chr1,95512520,95512622,RNA44,Yes,43.8496
chr1,97941573,97942268,RNA45,Yes,71.9173
chr1,101075395,101075716,RNA46,Yes,88.3095
chr1,101236325,101237333,RNA47,Yes,2.21218
chr1,105604163,105604317,RNA48,Yes,85.6842
chr1,105988450,105988529,RNA49,Yes,0
chr1,108052311,108052461,RNA50,Yes,64.4173
chr1,112960477,112960575,RNA51,Yes,81.6241
chr1,115102248,115102686,RNA52,Yes,79.5752
chr1,115922367,115922445,RNA53,Yes,79.703
chr1,117296520,117296633,RNA54,Yes,0
chr1,117604789,117604936,RNA55,Yes,69.3195
chr1,119150565,119150746,RNA56,Yes,87.3008
chr1,145927064,145927469,RNA57,Yes,0.452381
chr1,146057693,146057988,RNA58,Yes,52.7857
chr1,147514338,147514493,RNA59,Yes,76.4023
