Chromosome,Start,End,ID,Functional,chrm_acc_SumSignal,chrm_acc_MaxSignal,chrm_acc_MaxScaledSignal
chr1,1213663,1213785,RNA1,Yes,750.882,9.20541,9.20541
chr1,1320996,1321093,RNA2,Yes,10.0479,2.18884,1.46811
chr1,1452046,1452122,RNA3,Yes,21.6401,12.68467,12.6847
chr1,1722708,1722831,RNA4,Yes,0,0,0
chr1,2055441,2055562,RNA5,Yes,2.09694,0.429484,0.429484
chr1,3602466,3602600,RNA6,Yes,4.53784,2.27256,2.27256
chr1,3773063,3773181,RNA7,Yes,1880.57,14.00498,14.005
chr1,3852295,3852421,RNA8,Yes,1.95524,0.940195,0.447712
chr1,6168150,6168277,RNA9,Yes,0.999444,1.33739,0.589715
chr1,7962763,7962875,RNA10,Yes,5.0837,0.87321,0.87321
chr1,8874824,8874917,RNA11,Yes,2.81985,0.72227,0.72227
chr1,9069504,9069594,RNA12,Yes,2852.06,36.76926,36.7693
chr1,10469177,10469338,RNA13,Yes,0.0723733,0.118899,0.0723733
chr1,11046891,11047119,RNA14,Yes,413.793,12.84648,12.8465
chr1,12580523,12580666,RNA15,Yes,516.53,15.95293,15.0431
chr1,14960684,14960875,RNA16,Yes,3.57307,2.13834,0.962813
chr1,14960684,14960875,RNA17,Yes,3.57307,2.13834,0.962813
chr1,15440300,15440391,RNA18,Yes,25.5494,3.07309,3.07309
chr1,15737929,15737994,RNA19,Yes,9.3612,1.70692,1.70692
chr1,15764964,15765233,RNA20,Yes,203.568,16.51760,16.5176
chr1,18634303,18634538,RNA21,Yes,4.10687,0.854723,0.501922
chr1,18890012,18890105,RNA22,Yes,8.49175,2.72226,2.72226
chr1,19201718,19201815,RNA23,Yes,7.54649,2.87908,2.73067
chr1,21290070,21290156,RNA24,Yes,2383.28,14.65986,14.6599
chr1,21560626,21560745,RNA25,Yes,0.815686,0.264019,0.264019
chr1,23524383,23524488,RNA26,Yes,64.5548,5.44030,5.4403
chr1,23978713,23978817,RNA27,Yes,7.05158,0.831061,0.662037
