Chromosome,Start,End,ID,Functional,methylome
chr1,10277,10534,RNA1001,No,53.1702
chr1,10361,10517,RNA1002,No,50.6617
chr1,10409,10548,RNA1003,No,53.8633
chr1,10416,10550,RNA1004,No,53.8633
chr1,10471,10660,RNA1005,No,54.4426
chr1,10577,10683,RNA1006,No,50.7235
chr1,10736,10993,RNA1007,No,41.5394
chr1,10749,10820,RNA1008,No,59.9132
chr1,10788,10927,RNA1009,No,41.0954
chr1,10905,11079,RNA1010,No,10.148
chr1,10978,11160,RNA1011,No,2.46977
chr1,11022,11239,RNA1012,No,0.675157
chr1,11053,11187,RNA1013,No,0.75188
chr1,11062,11279,RNA1014,No,0.582707
chr1,11090,11264,RNA1015,No,0.574967
chr1,11112,11251,RNA1016,No,0.404858
chr1,11274,11463,RNA1017,No,0.422932
chr1,11275,11374,RNA1018,No,0
chr1,11285,11542,RNA1019,No,0.587406
chr1,11366,11472,RNA1020,No,1.12782
chr1,11518,11735,RNA1021,No,0
chr1,11546,11652,RNA1022,No,0
chr1,11602,11776,RNA1023,No,0
chr1,11609,11743,RNA1024,No,0
chr1,11682,11838,RNA1025,No,0
chr1,860034,860147,RNA1026,No,0
chr1,860158,860225,RNA1027,No,0
chr1,959420,959510,RNA1028,No,0.824475
chr1,1057603,1057690,RNA1029,No,73.9361
chr1,1119983,1120082,RNA1030,No,67.5805
chr1,1121382,1121559,RNA1031,No,42.8421
chr1,1198877,1198976,RNA1032,No,63.8684
chr1,1199985,1200248,RNA1033,No,71.1368
chr1,1207219,1207318,RNA1034,No,51.7932
chr1,1210127,1210198,RNA1035,No,63.8346
chr1,1216198,1216297,RNA1036,No,77.8214
chr1,1216299,1216398,RNA1037,No,74.7353
chr1,1292119,1292190,RNA1038,No,27.4972
chr1,1292220,1292291,RNA1039,No,69.9492
chr1,1330602,1330701,RNA1040,No,53.3816
chr1,1330705,1330776,RNA1041,No,0
chr1,1330857,1330928,RNA1042,No,38.8214
chr1,1362890,1362957,RNA1043,No,76.9925
chr1,1417676,1417743,RNA1044,No,0
chr1,1417761,1417832,RNA1045,No,0
chr1,1417879,1417946,RNA1046,No,0
chr1,1512036,1512103,RNA1047,No,0.439014
chr1,1512094,1512161,RNA1048,No,0.367586
chr1,1577530,1577597,RNA1049,No,56.8289
chr1,1585530,1585643,RNA1050,No,72.7538
chr1,1585666,1585779,RNA1051,No,80.8165
chr1,1589277,1589390,RNA1052,No,85.9806
chr1,1746029,1746142,RNA1053,No,0.222879
chr1,1748034,1748147,RNA1054,No,7.01504
chr1,1781629,1781742,RNA1055,No,85.3308
chr1,1902463,1902553,RNA1056,No,68.8026
chr1,1919632,1919722,RNA1057,No,1.01065
chr1,1919835,1919922,RNA1058,No,8.29753
chr1,1919931,1920021,RNA1059,No,45.0586
chr1,2008205,2008377,RNA1060,No,72.7857
chr1,2047553,2047816,RNA1061,No,40.5977
chr1,2047631,2047894,RNA1062,No,44.6637
chr1,2047636,2047723,RNA1063,No,36.7058
chr1,2047857,2048120,RNA1064,No,68.8242
chr1,2048758,2048845,RNA1065,No,80.6673
chr1,2310601,2310672,RNA1066,No,50.1677
chr1,2311268,2311465,RNA1067,No,55.082
chr1,2311971,2312070,RNA1068,No,32.2857
chr1,2312821,2312908,RNA1069,No,45.4492
chr1,2314403,2314490,RNA1070,No,13.3887
chr1,2314547,2314634,RNA1071,No,5.23195
chr1,2507112,2507179,RNA1072,No,42.8026
chr1,2586218,2586325,RNA1073,No,0.484211
chr1,2802959,2803072,RNA1074,No,65.5764
chr1,2826095,2826266,RNA1075,No,59.5122
chr1,2887976,2888148,RNA1076,No,61.9169
chr1,2979574,2979746,RNA1077,No,67.3526
chr1,2983484,2983656,RNA1078,No,72.6864
chr1,2995196,2995295,RNA1079,No,55.1342
chr1,3023021,3023218,RNA1080,No,71.6178
chr1,3033998,3034085,RNA1081,No,0
chr1,3035197,3035394,RNA1082,No,63.9862
chr1,3045025,3045222,RNA1083,No,0
chr1,3487634,3487741,RNA1084,No,71.1466
chr1,3487708,3487815,RNA1085,No,73.4411
chr1,3487747,3487854,RNA1086,No,79.9652
chr1,3772310,3772481,RNA1087,No,1.22212
chr1,3776149,3776331,RNA1088,No,47.5188
chr1,3777655,3777837,RNA1089,No,79.0858
chr1,3807432,3807603,RNA1090,No,72.8361
chr1,3811365,3811536,RNA1091,No,45.9408
chr1,3888840,3889011,RNA1092,No,86.4336
chr1,3888898,3889080,RNA1093,No,87.1936
chr1,3888940,3889111,RNA1094,No,87.8073
chr1,3889017,3889110,RNA1095,No,88.2211
chr1,3965801,3965972,RNA1096,No,80.8562
chr1,4099364,4099460,RNA1097,No,72.0902
chr1,4792963,4793145,RNA1098,No,69.1504
chr1,4844236,4844407,RNA1099,No,55.5526
chr1,5081514,5081691,RNA1100,No,32.4436
chr1,5462551,5462691,RNA1101,No,0
chr1,6101205,6101382,RNA1102,No,46.9549
chr1,6101227,6101404,RNA1103,No,49.2356
chr1,6101275,6101452,RNA1104,No,58.6748
chr1,6101553,6101728,RNA1105,No,43.0827
chr1,6101564,6101663,RNA1106,No,40.3985
chr1,6242338,6242515,RNA1107,No,2.67496
chr1,6243653,6243830,RNA1108,No,30.9442
chr1,6261251,6261428,RNA1109,No,2.39384
chr1,6261651,6261722,RNA1110,No,15.5865
chr1,6466553,6466620,RNA1111,No,77.8972
chr1,6717919,6718032,RNA1112,No,0
chr1,6778062,6778239,RNA1113,No,77.2899
chr1,6779110,6779209,RNA1114,No,77.1786
chr1,6780154,6780241,RNA1115,No,0
chr1,7770508,7770625,RNA1116,No,78.1654
chr1,7854235,7854334,RNA1117,No,75.6817
chr1,7854413,7854506,RNA1118,No,72.7632
chr1,7953139,7953238,RNA1119,No,54.3966
chr1,7953147,7953246,RNA1120,No,51.5461
chr1,7985809,7985908,RNA1121,No,0
chr1,7987326,7987425,RNA1122,No,0
chr1,7990233,7990332,RNA1123,No,0
chr1,7990267,7990363,RNA1124,No,0
chr1,8346069,8346240,RNA1125,No,70.3947
chr1,8349368,8349550,RNA1126,No,56.7049
chr1,8860797,8860890,RNA1127,No,81.5827
chr1,8860873,8860966,RNA1128,No,88.1855
chr1,8860903,8860996,RNA1129,No,84.2995
chr1,8888691,8888784,RNA1130,No,84.9643
chr1,8890158,8890251,RNA1131,No,31.1316
chr1,8976336,8976432,RNA1132,No,71.9248
chr1,8978600,8978693,RNA1133,No,70.8872
chr1,8982582,8982681,RNA1134,No,72.9323
chr1,9027224,9027320,RNA1135,No,71.8271
chr1,9034765,9034861,RNA1136,No,0
chr1,9824129,9824269,RNA1137,No,0.360048
chr1,9914855,9914948,RNA1138,No,0
chr1,9990448,9990582,RNA1139,No,86.3252
chr1,10024700,10024875,RNA1140,No,52.3158
chr1,10421439,10421546,RNA1141,No,67.5451
chr1,10421496,10421636,RNA1142,No,79.4718
chr1,10423119,10423226,RNA1143,No,81.0639
chr1,10425843,10425950,RNA1144,No,73.1165
chr1,10452315,10452455,RNA1145,No,83.3045
chr1,10454145,10454240,RNA1146,No,83.5226
chr1,10454410,10454550,RNA1147,No,90.6156
chr1,10630875,10631015,RNA1148,No,81.5549
chr1,10631677,10631817,RNA1149,No,81.0602
chr1,10632008,10632148,RNA1150,No,66.5576
chr1,10798593,10798743,RNA1151,No,83.5583
chr1,10800477,10800662,RNA1152,No,62.2782
chr1,10942373,10942548,RNA1153,No,21.8571
chr1,11011357,11011532,RNA1154,No,78.0865
chr1,11011555,11011730,RNA1155,No,62.0138
chr1,11048180,11048355,RNA1156,No,85.8797
chr1,11049250,11049425,RNA1157,No,85.1639
chr1,11105564,11105739,RNA1158,No,87.5357
chr1,11105915,11106092,RNA1159,No,88.0254
chr1,11303408,11303515,RNA1160,No,80.0677
chr1,11471634,11471774,RNA1161,No,0
chr1,11585273,11585390,RNA1162,No,72.4474
chr1,12044050,12044225,RNA1163,No,69.1472
chr1,12516727,12516844,RNA1164,No,88.7879
chr1,12562863,12562980,RNA1165,No,71.3008
chr1,12565757,12565874,RNA1166,No,83.0113
chr1,12631711,12631828,RNA1167,No,77.3308
chr1,12632019,12632136,RNA1168,No,0
chr1,12701993,12702110,RNA1169,No,68.1767
chr1,12951994,12952093,RNA1170,No,0
chr1,13620345,13620462,RNA1171,No,68.3665
chr1,13651964,13652091,RNA1172,No,0
chr1,13877077,13877170,RNA1173,No,64.1241
chr1,13879644,13879778,RNA1174,No,58.2378
chr1,13880446,13880580,RNA1175,No,59.7782
chr1,13884145,13884279,RNA1176,No,55.5263
chr1,13888427,13888561,RNA1177,No,48.9549
chr1,13889173,13889268,RNA1178,No,52.5451
chr1,15220846,15220980,RNA1179,No,0
chr1,15221287,15221421,RNA1180,No,69.5282
chr1,15221414,15221548,RNA1181,No,84.2268
chr1,15221624,15221725,RNA1182,No,70.8233
chr1,15221779,15221913,RNA1183,No,67.9944
chr1,15222898,15223083,RNA1184,No,0
chr1,15224436,15224570,RNA1185,No,81.3175
chr1,15224500,15224634,RNA1186,No,81.0113
chr1,15225526,15225676,RNA1187,No,55.5752
chr1,15228170,15228277,RNA1188,No,67.4524
chr1,15430475,15430570,RNA1189,No,0
chr1,15430528,15430623,RNA1190,No,87.782
chr1,15436841,15436936,RNA1191,No,81.4492
chr1,15450411,15450551,RNA1192,No,88.0439
chr1,15451957,15452052,RNA1193,No,72.8271
chr1,15455357,15455452,RNA1194,No,82.1147
