Chromosome,Start,End,ID,Functional,methylome
chr1,10408,10614,RNA1001,No,55.2242
chr1,10859,10960,RNA1002,No,25.035
chr1,11054,11155,RNA1003,No,0.886144
chr1,11262,11406,RNA1004,No,0.0626566
chr1,11532,11633,RNA1005,No,0
chr1,859734,859835,RNA1006,No,0
chr1,859796,859897,RNA1007,No,0
chr1,966339,966440,RNA1008,No,7.74269
chr1,1018857,1019063,RNA1009,No,80.8092
chr1,1124791,1124997,RNA1010,No,59.9796
chr1,1124948,1125154,RNA1011,No,62.0608
chr1,1200105,1200311,RNA1012,No,70.5883
chr1,1202323,1202529,RNA1013,No,68.9662
chr1,1241449,1241655,RNA1014,No,66.1779
chr1,1292104,1292248,RNA1015,No,34.4237
chr1,1384395,1384539,RNA1016,No,85.9038
chr1,1385351,1385495,RNA1017,No,88.9787
chr1,1410885,1411029,RNA1018,No,74.6992
chr1,1410893,1411037,RNA1019,No,74.0874
chr1,1541137,1541281,RNA1020,No,74.4617
chr1,1749268,1749559,RNA1021,No,74.7711
chr1,1785036,1785109,RNA1022,No,84.6053
chr1,1899730,1899831,RNA1023,No,0
chr1,2048374,2048580,RNA1024,No,60.1068
chr1,2048720,2048809,RNA1025,No,82.6165
chr1,2310814,2310958,RNA1026,No,82.1861
chr1,2959091,2959180,RNA1027,No,0
chr1,3030987,3031076,RNA1028,No,74.4925
chr1,3033946,3034035,RNA1029,No,0
chr1,3442060,3442149,RNA1030,No,70.6024
chr1,3443051,3443140,RNA1031,No,72.5129
chr1,3444435,3444524,RNA1032,No,62.1447
chr1,3613327,3613448,RNA1033,No,72.3371
chr1,4096678,4096767,RNA1034,No,0
chr1,4182422,4182595,RNA1035,No,61.6955
chr1,4468265,4468386,RNA1036,No,70.5564
chr1,4557963,4558084,RNA1037,No,0
chr1,4559535,4559656,RNA1038,No,62.9436
chr1,4600567,4600688,RNA1039,No,56.312
chr1,4600770,4600891,RNA1040,No,76.6504
chr1,4634576,4634697,RNA1041,No,60.4185
chr1,5495788,5495909,RNA1042,No,74.193
chr1,5782297,5782588,RNA1043,No,77.0426
chr1,5812636,5812709,RNA1044,No,0
chr1,5854732,5854833,RNA1045,No,0
chr1,6101442,6101745,RNA1046,No,43.0827
chr1,6101464,6101670,RNA1047,No,40.4624
chr1,6401902,6402046,RNA1048,No,0
chr1,6624455,6624746,RNA1049,No,70.1203
chr1,6624542,6624676,RNA1050,No,74.3474
chr1,6703636,6703927,RNA1051,No,74.2112
chr1,6711998,6712071,RNA1052,No,0
chr1,6719206,6719497,RNA1053,No,75.8459
chr1,6751412,6751703,RNA1054,No,87.3929
chr1,6751880,6752171,RNA1055,No,77.9044
chr1,6770739,6770812,RNA1056,No,37.4774
chr1,6771496,6771787,RNA1057,No,60.4903
chr1,6772809,6772882,RNA1058,No,0
chr1,7769887,7769960,RNA1059,No,0
chr1,7770011,7770302,RNA1060,No,76.4253
chr1,7770295,7770368,RNA1061,No,85.2105
chr1,7770445,7770518,RNA1062,No,0
chr1,7770530,7770876,RNA1063,No,46.5025
chr1,7770543,7770911,RNA1064,No,46.5025
chr1,7771212,7771285,RNA1065,No,0.573011
chr1,7854444,7854696,RNA1066,No,69.6667
chr1,7986538,7986627,RNA1067,No,66.6541
chr1,8252140,8252313,RNA1068,No,79.5658
chr1,9031096,9031217,RNA1069,No,73.8609
chr1,9031299,9031472,RNA1070,No,74.515
chr1,9031774,9031947,RNA1071,No,64.2744
chr1,9033133,9033306,RNA1072,No,0
chr1,9824426,9824599,RNA1073,No,4.09868
chr1,9824598,9824771,RNA1074,No,9.47697
chr1,9824634,9824807,RNA1075,No,10.4484
chr1,9824692,9824810,RNA1076,No,10.2962
chr1,10030291,10030594,RNA1077,No,73.2506
chr1,10193389,10193562,RNA1078,No,68.287
chr1,10631965,10632099,RNA1079,No,66.5576
chr1,10800275,10800445,RNA1080,No,64.3697
chr1,10839619,10839987,RNA1081,No,73.9501
chr1,11005580,11005883,RNA1082,No,76.5175
chr1,11047359,11047662,RNA1083,No,82.1817
chr1,11049358,11049661,RNA1084,No,83.6967
chr1,11102392,11102695,RNA1085,No,84.8759
chr1,11105999,11106302,RNA1086,No,86.5927
chr1,11264422,11265598,RNA1087,No,79.7303
chr1,11265719,11266022,RNA1088,No,58.7218
chr1,11538556,11538902,RNA1089,No,66.0865
