Functional,GeneID,GC_percentage,lowComplexity_density,phyloP_max,RPKM_tissue,RPKM_primary-cell,copy_number,repeat_distance,Interaction_ave,coding_potential,RNAalifold_score,Max_covariance,MFE,SNP_density,MAF_avg
Yes,NM_001410709,66.00,0,8.602,2.80,13.50,1,3799,-6.031,17.64,-4.04,83.67,-38.00,.254901,.000683
Yes,NM_017871,54.00,0,8.743,35.85,142.28,1,2126,-7.276,37.25,-0.71,169.78,-9.20,.229729,.000018
Yes,NM_001039211,60.00,0,8.631,5.83,15.16,3,915,-5.704,11.72,-2.29,82.59,-25.40,.314285,.009464
Yes,NM_024011,50.00,0,8.562,21.72,25.09,2,543,-6.968,26.79,-0.95,110.80,-28.20,.336206,.000045
Yes,NM_002744,60.00,0,8.769,32.12,56.62,1,1392,-6.034,24.81,-11.55,60.00,-30.90,.244444,.023118
Yes,NM_001409,65.00,0,8.7,27.30,41.40,1,2888,-7.635,17.66,-0.45,145.07,-40.60,.490909,.003393
Yes,NM_001288,66.00,0,7.953,29.55,5.55,1,4769,-7.176,1.63,0.00,156.09,-67.30,.254054,.000225
Yes,NM_014704,39.00,0,8.898,9.64,25.17,1,144,-6.702,73.67,0.00,116.28,-32.40,.166666,.000241
Yes,NM_015557,42.00,0.338889,8.871,20.29,.76,1,2559,-7.797,50.21,-1.44,133.26,-20.50,.183333,.000016
Yes,NM_007262,49.00,0.0588235,8.891,121.40,414.50,3,461,-5.111,34.70,-3.54,62.19,-28.00,.176470,.000258
Yes,NM_001428,53.00,0,8.851,492.66,2049.11,4,879,-6.074,33.54,-2.75,84.74,-29.00,.197916,.000020
Yes,NM_001328,57.00,0,8.822,13.44,43.44,1,997,-6.061,32.25,0.00,135.50,-28.50,.212121,.000066
Yes,NM_004401,51.00,0,8.855,21.35,71.00,3,387,-6.114,26.43,-0.72,115.78,-45.00,.195804,.000021
Yes,NM_006610,64.00,0,7.934,51.58,.58,1,967,-8.295,40.16,-0.13,125.54,-62.80,.292134,.001709
Yes,NM_004753,55.00,0,8.88,117.36,640.54,1,736,-6.544,32.03,-3.75,143.39,-34.00,.158333,.000561
Yes,NM_001017999,57.00,0,8.59,14.00,25.15,1,298,-6.288,35.13,-5.35,149.10,-37.00,.270072,.000022
Yes,NM_001018,57.00,0,8.59,14.00,25.15,1,298,-6.288,35.13,-5.35,149.10,-37.00,.270072,.000022
Yes,NM_007272,56.00,0,8.85,.66,1.00,1,397,-6.459,41.31,-0.09,174.17,-23.80,.326530,.004269
Yes,NM_207348,66.00,0,8.667,4.66,1.13,1,995,-6.664,37.73,-1.33,138.60,-75.00,.261437,.000074
Yes,NM_001024215,65.00,0.0797872,8.297,6.22,79.77,3,259,-7.116,24.77,0.00,173.69,-55.70,.542553,.001300
Yes,NM_002584,56.00,0,8.785,10.83,.16,2,17565,-6.615,35.95,-11.53,82.85,-38.30,.207692,.000266
Yes,NM_001161,62.00,0,8.864,144.00,63.66,1,282,-7.651,24.17,-3.85,64.65,-28.10,.193548,.000551
Yes,NM_020765,50.00,0,8.866,79.30,194.90,1,304,-6.250,24.09,-13.66,57.28,-24.90,.086538,.000013
Yes,NM_001397,64.00,0,8.861,33.14,288.92,1,651,-6.035,21.63,-3.80,83.66,-58.50,.260563,.000019
Yes,NM_001177,65.00,0,8.886,43.29,47.35,1,570,-7.944,51.27,-7.25,157.14,-68.50,.245714,.021780
Yes,NM_004091,58.00,0,8.866,21.90,3.19,6,1147,-7.760,45.38,-16.84,101.14,-71.30,.190909,.000015
Yes,NM_006625,43.00,0,8.903,55.40,96.20,7,6096,-5.426,25.16,-1.21,98.19,-24.70,.144230,.001236
Yes,NM_170743,55.00,0,8.893,4.22,11.44,1,532,-7.224,30.22,-0.35,172.36,-54.10,.227027,.002995
Yes,NM_001010980,49.00,0,8.824,4.50,5.75,1,1060,-6.412,14.13,-0.69,88.43,-19.80,.141176,.000119
Yes,NM_019557,54.00,0,8.903,24.80,44.90,1,1111,-7.050,25.52,-1.78,84.44,-23.20,.219047,.000596
Yes,NM_005563,47.00,0,8.899,621.58,231.00,4,358,-6.622,17.14,-10.26,165.09,-41.80,.092485,.000011
Yes,NM_032588,56.00,0,8.903,49.06,47.81,1,611,-6.745,47.52,-19.19,93.31,-53.00,.278106,.000055
Yes,NM_024887,56.00,0,8.891,9.45,30.36,1,327,-5.061,33.35,-5.35,100.58,-40.10,.111111,.000218
Yes,NM_177424,44.00,0,8.903,106.77,197.66,1,880,-7.269,19.13,-0.37,106.94,-11.50,.160000,.000014
