Functional,GeneID,GC_percentage,lowComplexity_density,phyloP_max,RPKM_tissue,RPKM_primary-cell,copy_number,repeat_distance,Interaction_ave,coding_potential,RNAalifold_score,Max_covariance,MFE,SNP_density,MAF_avg
Yes,URS000075B941_9606,54.00,0,0.904,11.00,12.90,296273,518,-6.857,3.39,-15.19,21.23,-25.60,.310679,.000057
Yes,URS000075ABDA_9606,63.00,0,1.193,1.40,1.70,1,3422,-6.011,4.92,0.00,41.85,-90.30,.355769,.000611
Yes,URS000075B363_9606,60.00,0,1.926,15.92,21.92,1,2539,-7.068,5.00,0.00,56.73,-54.30,.356164,.000036
Yes,URS000075CF92_9606,50.00,0,3.783,8.55,1.33,1,1211,-6.186,1.78,0.00,90.10,-21.50,.285714,.010345
Yes,URS0000BC45E4_9606,50.00,0,2.094,.50,0,1,687,-7.564,1.75,0.00,97.90,-20.90,.292682,.016240
Yes,URS000075CC1C_9606,45.00,0.136519,8.461,.24,.20,2,1224,-6.768,2.23,0.00,140.91,-83.00,.269624,.000122
Yes,URS0000BC442D_9606,34.00,0.32,3.04,1.00,2.57,1,5751,-6.165,0.79,0.00,85.24,-3.90,.266666,.000101
Yes,URS00008E3A18_9606,59.00,0,2.245,.88,11.58,1,2308,-6.290,NA,0.00,94.73,-61.40,.394285,.010245
Yes,URS0000A76A99_9606,45.00,0,2.893,.60,.86,1,370,-7.064,4.93,0.00,92.71,-72.00,.190163,.000116
Yes,URS000075A243_9606,56.00,0,2.413,1.69,.61,1,652,-8.376,NA,0.00,96.14,-40.60,.227941,.000150
Yes,URS000075D3D8_9606,51.00,0,4.048,3.16,.86,1,639,-9.389,1.97,0.00,124.03,-122.90,.229729,.007137
Yes,URS00025E99F8_9606,62.00,0,3.46,2.64,.58,2,1158,-8.003,2.19,0.00,90.46,-143.60,.290229,.003701
Yes,URS0000BC43E0_9606,50.00,0,3.474,.32,5.80,41,957,-6.397,2.72,0.00,217.33,-77.30,.334645,.001496
Yes,URS0000BC44CB_9606,54.00,0,1.574,2.09,4.36,1,492,-7.327,2.63,0.00,105.58,-28.70,.316666,.004150
Yes,URS0000BC43B5_9606,61.00,0,3.366,1.00,7.47,1,721,-7.326,0.36,0.00,145.44,-71.60,.232558,.010065
Yes,URS00022B48B9_9606,49.00,0.247029,7.711,.33,.72,386501,543,-8.954,5.32,0.00,208.76,-385.00,.231748,.000556
Yes,URS00007E4488_9606,50.00,0.701149,3.167,.25,0,NA,864,-8.496,9.83,-10.59,15.82,-1.24,.252873,.001158
Yes,URS0000A77184_9606,49.00,0,8.903,9.59,27.40,1,2945,-7.924,38.49,0.00,212.28,-124.50,.207589,.001785
Yes,URS0000BC45AC_9606,46.00,0,4.237,.25,.42,48,200,-7.861,4.02,0.00,130.08,-88.70,.197771,.000536
Yes,URS000075A082_9606,59.00,0,4.505,1.12,1.75,1,759,-6.107,1.47,0.00,82.47,-30.60,.168674,.000025
Yes,URS000075BDEA_9606,54.00,0,2.55,1.00,.81,346672,803,-7.152,5.19,-20.63,21.84,-46.30,.236024,.005799
Yes,URS0000D64BA3_9606,53.00,0,3.772,.66,1.76,21,475,-7.398,3.64,0.00,103.36,-45.20,.187214,.000212
Yes,URS0000759DFB_9606,57.00,0,3.681,.61,1.15,1,1359,-6.526,2.50,0.00,136.54,-45.50,.183823,.000041
Yes,URS0000BC450F_9606,47.00,0.00988468,8.362,480.20,1274.41,5,382,-8.276,1.78,0.00,120.31,-191.40,.958813,.000565
Yes,URS000075AA67_9606,59.00,0,8.78,2.44,1.72,2,456,-7.583,3.65,0.00,150.76,-165.20,.243678,.000151
Yes,URS000075D4C3_9606,46.00,0,3.439,5.38,4.23,1,190,-5.396,3.60,0.00,140.35,-34.10,.214814,.000074
Yes,URS0000BC45CD_9606,32.00,0,6.135,5.35,4.94,1,1146,-6.492,4.71,0.00,156.30,-62.90,.205797,.000947
Yes,URS00025F1626_9606,64.00,0,8.438,.72,1.66,1,4683,-7.435,31.29,0.00,117.08,-132.90,.191740,.002448
Yes,URS000075ABAD_9606,54.00,0,0.586,2.00,14.11,188269,1307,-6.319,8.93,-32.10,16.22,-25.30,.182795,.000503
Yes,URS0001BBE517_9606,48.00,0,4.707,2.14,4.85,1,903,-5.725,NA,0.00,99.66,-20.10,.200000,.015125
Yes,URS0000A76875_9606,41.00,0,7.705,2.03,4.28,4,2011,-6.209,5.47,0.00,138.69,-68.10,.171328,.000131
Yes,URS00022AF296_9606,59.00,0,3.892,.77,6.44,340578,314,-6.316,7.23,-30.59,15.53,-29.20,.285714,.000252
Yes,URS00025E3446_9606,32.00,0.151659,4.224,.42,.28,3,1609,-6.916,4.94,0.00,174.86,-74.40,.194312,.000026
Yes,URS000075DB8C_9606,45.00,0,3.485,18.00,49.25,1,1216,-6.978,1.17,0.00,103.93,-15.70,.202380,.000020
Yes,URS00025EAAEC_9606,53.00,0,2.509,1.42,.92,3302,607,-7.344,6.23,-1.99,32.04,-37.70,.274647,.002932
Yes,URS00022AE7C0_9606,37.00,0,3.601,3.13,1.65,2,909,-6.719,4.07,0.00,111.05,-50.10,.259414,.003843
Yes,URS0000BC465A_9606,42.00,0,2.741,1.90,.54,1,1027,-7.293,5.07,-0.14,23.11,-5.40,.201680,.000794
Yes,URS0000BC44E7_9606,46.00,0,3.101,.11,.33,1,1510,-6.371,8.52,0.00,47.56,-22.30,.161290,.000446
Yes,URS0000BC43FD_9606,41.00,0,8.852,3.72,.72,2,2495,-6.226,3.70,-0.29,83.54,-13.30,.236842,.000165
Yes,URS000075B9B0_9606,42.00,0,8.863,1.80,2.50,1,517,-6.439,5.35,-0.95,109.10,-17.40,.155339,.001686
Yes,URS0000BC4441_9606,42.00,0.0193452,8.903,.17,.08,1,987,-8.796,6.82,0.00,235.26,-171.80,.199404,.000063
Yes,URS0000D5B53B_9606,45.00,0,3.092,3.33,7.27,1,175,-6.112,4.03,0.00,122.93,-44.90,.171270,.000094
Yes,URS0000BC4588_9606,35.00,0.0158311,5.111,.16,.67,2,573,-7.113,8.34,0.00,132.11,-81.80,.221635,.001645
Yes,URS000075A32F_9606,42.00,0.0582524,6.209,7.50,2.50,1,1839,-6.860,5.71,0.00,99.72,-20.80,.320388,.000047
Yes,URS0000BC4572_9606,32.00,0,3.537,4.40,.81,15473,350,-7.397,0.87,0.00,120.49,-140.40,.192528,.001257
Yes,URS0000759A5E_9606,41.00,0,3.389,3.06,6.75,2,362,-6.860,5.74,0.00,100.67,-88.60,.211180,.003660
Yes,URS000075BD3C_9606,57.00,0.0872151,8.806,14.30,21.43,1,7062,-9.453,1.73,0.00,145.14,-364.10,.471754,.003361
Yes,URS00007E44BA_9606,33.00,0,2.353,.26,.13,1,1163,-5.926,2.03,0.00,136.81,-22.20,.219354,.012608
